Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:49:39.000,-2743948.965319405,4701349.000160974,3312918.417813973,10,596
2025/01/17 08:49:40.000,-2743949.554650862,4701348.274967654,3312918.1949834633,10,598
2025/01/17 08:49:41.000,-2743948.808886024,4701349.56433452,3312918.524512106,10,603
2025/01/17 08:49:42.000,-2743949.305239183,4701348.207442649,3312918.116941067,10,598
2025/01/17 08:49:43.000,-2743949.55330608,4701349.7709161565,3312918.8259342583,10,604
2025/01/17 08:49:44.000,-2743949.0051686573,4701352.818231013,3312919.74104111,10,622
2025/01/17 08:49:45.000,-2743949.1768766646,4701352.595619569,3312919.6800456773,10,622
2025/01/17 08:49:46.000,-2743950.1535338727,4701351.807303352,3312919.6727661644,10,618
2025/01/17 08:49:47.000,-2743950.723416027,4701351.9186801985,3312919.8498792457,10,621
2025/01/17 08:49:48.000,-2743950.39687106,4701353.120594857,3312920.360113468,10,623
2025/01/17 08:49:49.000,-2743950.146559113,4701354.663937912,3312920.809885542,10,632
2025/01/17 08:49:50.000,-2743949.7164259604,4701355.989991766,3312921.0532033076,10,641
2025/01/17 08:49:51.000,-2743950.3421027223,4701355.004993682,3312920.760659078,10,639
2025/01/17 08:49:52.000,-2743950.380516913,4701354.451847262,3312920.5509477407,10,639
2025/01/17 08:49:53.000,-2743951.14899624,4701352.985701157,3312920.394380451,10,628
2025/01/17 08:49:54.000,-2743950.3338800524,4701355.00884589,3312921.179782583,10,629
2025/01/17 08:49:55.000,-2743950.7061049403,4701355.0842057215,3312921.357125076,10,628
2025/01/17 08:49:56.000,-2743950.7526107966,4701354.324558358,3312921.0676308204,10,627
2025/01/17 08:49:57.000,-2743950.5298907473,4701354.208053889,3312920.9708841057,10,626
2025/01/17 08:49:58.000,-2743950.7193178874,4701352.25608854,3312920.171123106,10,620
2025/01/17 08:49:59.000,-2743950.7517707553,4701349.903199353,3312919.2040788853,10,612
2025/01/17 08:50:00.000,-2743949.6909148293,4701351.5595080275,3312919.1806308473,10,632
2025/01/17 08:50:01.000,-2743947.2105284766,4701356.342800965,3312920.318301852,10,649
2025/01/17 08:50:02.000,-2743947.465100888,4701354.8390393695,3312919.8940959554,10,641
2025/01/17 08:50:03.000,-2743949.010131848,4701351.077474988,3312918.9900755445,10,623
2025/01/17 08:50:04.000,-2743948.7750808382,4701351.083237903,3312918.701351672,10,630
2025/01/17 08:50:05.000,-2743948.1610474675,4701350.051491631,3312918.305439426,10,620
2025/01/17 08:50:06.000,-2743948.3482455434,4701347.047869902,3312917.3210007786,10,604
2025/01/17 08:50:07.000,-2743948.3652837262,4701345.924305194,3312916.7950658775,10,600
2025/01/17 08:50:08.000,-2743949.4971460286,4701344.982544499,3312916.632058404,10,603
2025/01/17 08:50:09.000,-2743949.6547825113,4701346.940645639,3312917.3843490137,10,614
2025/01/17 08:50:10.000,-2743949.264127574,4701348.186004429,3312917.276464778,10,635
2025/01/17 08:50:11.000,-2743949.5950195557,4701348.812477,3312917.59974336,10,639
2025/01/17 08:50:12.000,-2743950.1867830376,4701346.656774372,3312916.9459395865,10,629
2025/01/17 08:50:14.000,-2743950.5127160754,4701347.2489764895,3312917.3826094097,10,628
2025/01/17 08:50:15.000,-2743952.312003504,4701342.874481511,3312916.4769351804,10,603
2025/01/17 08:50:16.000,-2743953.4394711475,4701339.615861079,3312915.7107621874,10,582
2025/01/17 08:50:17.000,-2743953.3702406376,4701341.183364945,3312916.539783012,10,582
2025/01/17 08:50:18.000,-2743954.021227078,4701340.0743974205,3312916.342431978,10,575
2025/01/17 08:50:19.000,-2743954.7117273537,4701338.765602745,3312915.867806178,10,575
2025/01/17 08:50:20.000,-2743955.3488894207,4701338.328918882,3312916.0353156696,10,566
2025/01/17 08:50:21.000,-2743954.998170866,4701335.473349676,3312915.2367106853,10,535
2025/01/17 08:50:22.000,-2743954.796147592,4701335.348194775,3312915.2132733,10,530
2025/01/17 08:50:23.000,-2743955.985091153,4701331.676833,3312914.1451155306,10,509
2025/01/17 08:50:24.000,-2743956.7469384675,4701330.189023151,3312913.709927509,10,505
2025/01/17 08:50:25.000,-2743956.73265663,4701329.053783183,3312913.3406480164,10,495
2025/01/17 08:50:26.000,-2743955.962679786,4701331.643917333,3312913.9163880995,10,519
2025/01/17 08:50:27.000,-2743955.3156189937,4701330.593601984,3312913.55151255,10,504
2025/01/17 08:50:28.000,-2743952.9152754336,4701327.410995011,3312911.806561248,10,473
2025/01/17 08:50:29.000,-2743942.889551607,4701329.313178002,3312909.8461757703,11,467
2025/01/17 08:50:30.000,-2743939.447692858,4701327.01287296,3312908.764794887,11,406
2025/01/17 08:50:31.000,-2743934.9703001585,4701326.923511023,3312908.2741131186,11,355
2025/01/17 08:50:32.000,-2743933.910704909,4701329.368952661,3312909.2301110844,11,355
2025/01/17 08:50:33.000,-2743933.0470446935,4701326.107348593,3312907.7161370427,11,331
2025/01/17 08:50:34.000,-2743933.336869183,4701325.179223284,3312907.173421529,11,341
2025/01/17 08:50:35.000,-2743933.968623621,4701325.991884057,3312907.8393376293,11,339
2025/01/17 08:50:36.000,-2743935.686124427,4701326.663189024,3312908.25310074,11,363
2025/01/17 08:50:39.000,-2743931.290771022,4701359.182202283,3312918.9869778473,12,596
2025/01/17 08:50:54.000,-2743913.670216527,4701335.528661298,3312902.326110048,12,554
2025/01/17 08:50:55.000,-2743912.691222536,4701337.9383199075,3312902.7178139794,12,579
2025/01/17 08:50:56.000,-2743912.1938016107,4701338.211349684,3312902.483173653,12,588
2025/01/17 08:50:57.000,-2743911.42086735,4701340.578690512,3312903.197322027,12,596
2025/01/17 08:50:58.000,-2743912.593128079,4701340.454762143,3312903.912418625,12,583
2025/01/17 08:50:59.000,-2743911.9062677687,4701338.365324622,3312902.8348585307,12,574
2025/01/17 08:51:00.000,-2743912.4743409213,4701339.582890945,3312903.526378074,12,580
2025/01/17 08:51:01.000,-2743912.38452057,4701340.708389852,3312904.0909625757,12,580
2025/01/17 08:51:02.000,-2743912.6146338023,4701341.214980534,3312904.435729938,12,579
2025/01/17 08:51:03.000,-2743914.880344211,4701331.712415747,3312903.701811412,11,417
2025/01/17 08:51:04.000,-2743912.463704347,4701339.4298920175,3312903.5032836553,12,579
2025/01/17 08:51:05.000,-2743911.7848744257,4701338.292538891,3312902.8787102103,12,570
2025/01/17 08:51:06.000,-2743911.185824492,4701337.943058722,3312902.368387526,12,579
2025/01/17 08:51:07.000,-2743911.943947647,4701339.573316463,3312903.306104719,12,585
2025/01/17 08:51:08.000,-2743906.2238283977,4701346.760777807,3312903.349291815,11,647
2025/01/17 08:51:09.000,-2743904.818471486,4701344.820353855,3312902.00614166,11,646
2025/01/17 08:51:10.000,-2743905.014994896,4701346.878779577,3312903.1402113847,11,647
2025/01/17 08:51:11.000,-2743905.2902897205,4701346.496042403,3312902.9554005745,11,648
2025/01/17 08:51:12.000,-2743905.9574362426,4701345.990400189,3312903.06329266,11,643
2025/01/17 08:51:13.000,-2743905.1816464514,4701344.845175129,3312902.4458602816,11,636
2025/01/17 08:51:14.000,-2743905.5115995514,4701345.704090688,3312902.8589506,11,641
2025/01/17 08:51:15.000,-2743905.5516000753,4701344.397250456,3312902.2202138766,11,640
2025/01/17 08:51:16.000,-2743905.9884431753,4701345.162837297,3312902.3729819236,11,651
2025/01/17 08:51:17.000,-2743905.901468035,4701346.063487208,3312902.9491182324,11,650
2025/01/17 08:51:18.000,-2743905.9954047273,4701343.955833177,3312902.2986145867,11,636
2025/01/17 08:51:19.000,-2743906.10611243,4701344.105457548,3312902.2325703423,11,642
2025/01/17 08:51:20.000,-2743905.421270756,4701342.233702225,3312901.4766292893,11,628
2025/01/17 08:51:21.000,-2743906.2773462688,4701339.08830908,3312900.293012792,11,624
2025/01/17 08:51:22.000,-2743906.001575329,4701335.966048121,3312898.7084823237,11,620
