Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:51:03.000,-2743883.6899317354,4701337.741071294,3312903.701811412,10,1
2025/01/17 08:51:04.000,-2743901.705176795,4701339.5981327845,3312904.2054892215,10,34
2025/01/17 08:51:05.000,-2743903.9468573714,4701338.6334365,3312900.4154177457,10,27
2025/01/17 08:51:06.000,-2743887.1220673174,4701352.42407252,3312893.841605684,10,1
2025/01/17 08:51:07.000,-2743903.114458427,4701342.988654755,3312898.190035492,9,27
2025/01/17 08:51:08.000,-2743882.5167123177,4701358.9498779,3312901.7576253936,11,15
2025/01/17 08:51:09.000,-2743884.2029473246,4701359.880608865,3312893.7635834976,11,6
2025/01/17 08:51:10.000,-2743883.983993535,4701360.611171798,3312897.171462352,11,8
2025/01/17 08:51:11.000,-2743884.295219944,4701360.25008407,3312896.9866514974,11,8
2025/01/17 08:51:12.000,-2743883.282994557,4701360.511754583,3312897.094543721,11,10
2025/01/17 08:51:13.000,-2743896.192631308,4701348.711145216,3312899.8186890176,11,37
2025/01/17 08:51:14.000,-2743896.953827467,4701347.364171072,3312903.2852898054,11,48
2025/01/17 08:51:15.000,-2743891.7859516623,4701346.735553369,3312905.9151536366,11,18
2025/01/17 08:51:16.000,-2743898.881196506,4701344.4808433885,3312905.508638162,11,31
2025/01/17 08:51:17.000,-2743897.738232345,4701346.997892779,3312904.614815651,11,43
2025/01/17 08:51:18.000,-2743885.895029756,4701354.42279989,3312899.508030772,11,11
2025/01/17 08:51:19.000,-2743886.531084925,4701354.355487301,3312899.674535113,11,10
2025/01/17 08:51:20.000,-2743881.9846197013,4701357.774796529,3312893.8025240814,11,2
2025/01/17 08:51:21.000,-2743890.193774322,4701343.694824043,3312901.746441772,10,88
2025/01/17 08:51:22.000,-2743891.4181013484,4701350.843820651,3312884.212950915,9,6
2025/01/17 08:51:23.000,-2743882.182567031,4701340.084050917,3312896.5390586616,10,48
2025/01/17 08:51:24.000,-2743877.0316827754,4701332.812658728,3312907.845799671,11,1
2025/01/17 08:51:25.000,-2743880.3874985534,4701335.438283121,3312899.496949132,11,17
2025/01/17 08:51:26.000,-2743881.65634403,4701332.76037884,3312895.1636323137,10,37
